user_id,experienced,group,patient_id,transform_type,task_id,task_index,duration_seconds,a_vertebralis_r_rel,a_vertebralis_r_abs_5,a_vertebralis_l_rel,a_vertebralis_l_abs_5,a_carotisexterna_r_rel,a_carotisexterna_r_abs_5,a_carotisexterna_l_rel,a_carotisexterna_l_abs_5,lymph_node_abs,lymph_node_tre_linear,lymph_node_tre_nonlinear,recurrence,slider_total_distance_mm,slider_usage_count,pan_total_distance_px,pan_usage_count,zoom_total_distance_px,zoom_usage_count,window_level_total_distance_px,window_level_usage_count,drag_scroll_total_distance_px,drag_scroll_usage_count,wheel_scroll_distance_c,double_click_Red1_count,double_click_Red2_count,double_click_Green1_count,double_click_Green2_count,double_click_Yellow1_count,double_click_Yellow2_count,synchronised_count,arrow_key_Red1_count,arrow_key_Red2_count,arrow_key_Green1_count,arrow_key_Green2_count,arrow_key_Yellow1_count,arrow_key_Yellow2_count
rad_1,False,1,fEHc3cCOu-M,TransformType.NONLINEAR,a_vertebralis_l,task_idx_0226,5.261,,,2.6663423785856857,True,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
rad_1,False,1,fEHc3cCOu-M,TransformType.NONLINEAR,a_carotisexterna_r,task_idx_0227,15.861,,,,,1.9731108256926104,True,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,82.28469515504085,36.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
rad_1,False,1,fEHc3cCOu-M,TransformType.NONLINEAR,a_carotisexterna_l,task_idx_0228,8.716,,,,,,,0.8056512561300595,True,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
rad_3,False,2,hkvdD_XVYqo,TransformType.NONE,a_vertebralis_r,task_idx_0039,165.18,2.677351804296781,True,,,,,,,,,,,0.0,0.0,1207.728366252638,31.0,1278.8806214916729,59.0,387.51242059212126,32.0,0.0,0.0,726.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
rad_3,False,2,hkvdD_XVYqo,TransformType.NONE,a_vertebralis_l,task_idx_0040,67.508,,,3.906193748365177,True,,,,,,,,,0.0,0.0,256.95905564709165,19.0,52.41173631183176,12.0,0.0,0.0,0.0,0.0,375.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
rad_3,False,2,hkvdD_XVYqo,TransformType.NONE,a_carotisexterna_r,task_idx_0041,122.645,,,,,1.210762099558915,True,,,,,,,0.0,0.0,2417.4608750640064,70.0,993.3240887218924,60.0,0.0,0.0,0.0,0.0,901.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
rad_3,False,2,hkvdD_XVYqo,TransformType.NONE,a_carotisexterna_l,task_idx_0042,42.015,,,,,,,1.2736794936064666,True,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rad_3,False,2,CSSdmYlgjew,TransformType.NONE,a_vertebralis_r,task_idx_0057,65.984,1.6870662965671646,True,,,,,,,,,,,76.50000000000003,29.0,481.86754681164206,10.0,177.08375295888678,12.0,0.0,0.0,0.0,0.0,497.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
rad_3,False,2,CSSdmYlgjew,TransformType.NONE,a_vertebralis_l,task_idx_0058,52.286,,,1.6588898381452877,True,,,,,,,,,0.0,0.0,0.0,0.0,110.99404400077567,17.0,0.0,0.0,0.0,0.0,251.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
rad_3,False,2,CSSdmYlgjew,TransformType.NONE,a_carotisexterna_r,task_idx_0059,65.745,,,,,1.897061382798712,True,,,,,,,0.0,0.0,445.0562797011683,15.0,35.11125977796865,6.0,0.0,0.0,0.0,0.0,461.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
